Total.Residence.hrs,Num.animals,Revisits,coordIdx,Avg.Residence.hrs,x,y
55.57,1,14,1650,55.6,503629.678611804,4209457.28449062
53.29,1,16,1651,53.3,503596.363257501,4209382.93141842
57.48,1,16,1652,57.5,503521.764764688,4209390.66557682
58.15,1,15,1653,58.1,503538.454831456,4209354.05840102
28.42,2,15,1654,14.2,503486.659306196,4209395.0886122
8.24,1,5,1655,8.2,503461.020067114,4209841.10776491
12.12,1,6,1656,12.1,503896.188034436,4210034.36183688
32.99,1,14,1657,33,503360.905488768,4210023.02851642
94.74,3,26,1658,31.6,503165.148139508,4210203.80335094
130.01,3,42,1659,43.3,503033.479586345,4210320.25383497
168.65,3,48,1660,56.2,502978.174285091,4210384.58612504
102.08,3,48,1661,34,502937.795723942,4210424.51452214
175.77,3,62,1662,58.6,502474.344400332,4210895.91070253
228.56,3,56,1663,76.2,502566.456094543,4210953.63470381
38.18,2,17,1664,19.1,502906.857844679,4211059.1542382
145.36,3,58,1665,48.5,502819.058599371,4211227.77198804
59.37,3,26,1666,19.8,502567.313959797,4211015.76863921
152.35,3,49,1667,50.8,501976.862591391,4210815.88885087
131.75,3,41,1668,43.9,501954.943184451,4210747.09274982
192.31,3,54,1669,64.1,501976.875497494,4210762.63144529
194.24,3,54,1670,64.7,501976.874959743,4210764.85050377
15.21,1,5,1671,15.2,503371.902810334,4211016.06155465
39.66,2,11,1672,19.8,503354.36273824,4210996.08278507
33.1,2,10,1673,16.6,503361.384812667,4210989.42849658
9.44,3,14,1674,3.1,502414.653081823,4210984.65518671
30.73,3,12,1675,10.2,502251.419116165,4211108.87583865
15.48,3,7,1676,5.2,502232.124118213,4211080.02275849
0.39,1,1,1677,0.4,501973.156094309,4211629.17350707
24.39,3,16,1678,8.1,502098.009780133,4210578.47985954
27.41,1,8,1679,27.4,503394.74374749,4210948.38970802
25.37,1,8,1680,25.4,503371.925742793,4210960.58507158
1.09,1,1,1681,1.1,503302.694895958,4210749.74612077
43.4,2,14,1682,21.7,503027.970020781,4210979.31214825
130.46,3,38,1683,43.5,502050.604004349,4210669.44919003
7.54,2,3,1684,3.8,501901.444499534,4210638.34624529
134.38,3,42,1685,44.8,502041.821991908,4210699.40427501
42.65,3,23,1686,14.2,502083.966715869,4210592.90013735
177.36,3,64,1687,59.1,502677.048633139,4210839.38869971
4.87,1,3,1688,4.9,503566.69896081,4210992.84427637
4.29,1,2,1689,4.3,503557.918985848,4211006.15480081
14.52,1,5,1690,14.5,503385.064484411,4211014.95747608
77.12,3,25,1691,25.7,502061.982547743,4210781.51451205
56.92,3,28,1692,19,502084.841907189,4210601.7765932
51.81,3,21,1693,17.3,502019.038269164,4210578.4599329
24.43,3,15,1694,8.1,502080.462536093,4210570.7086629
41.58,2,16,1695,20.8,503020.886572363,4211152.39619162
42.24,2,17,1696,21.1,503023.517537174,4211155.7257567
42.8,2,17,1697,21.4,503021.763971915,4211152.39651662
209.05,3,63,1698,69.7,502606.850786047,4210849.35173038
211.43,3,76,1699,70.5,502637.556964218,4210861.56642565
195.42,3,69,1700,65.1,502656.857551121,4210870.44892538
192.91,3,71,1701,64.3,502658.612410838,4210870.44949712
4.47,2,4,1702,2.2,503116.570603709,4211028.16483154
45.89,2,11,1703,22.9,503304.355397564,4210982.74801612
47.6,2,12,1704,23.8,503293.823695554,4210989.40093565
42.24,3,33,1705,14.1,502783.954610569,4211252.16959525
167.6,3,42,1706,55.9,502013.735706045,4210731.57364119
137.77,3,48,1707,45.9,502005.844432218,4210708.27158318
107.54,3,32,1708,35.8,502123.437095309,4210651.71535647
17.91,3,12,1709,6,502147.088912497,4210801.50799672
69.79,2,21,1710,34.9,502869.095279208,4211155.66997696
0.28,1,1,1711,0.3,504518.372977117,4209992.52057128
6.42,2,3,1712,3.2,503824.144561497,4210219.61900604
163.43,3,49,1713,54.5,503008.027494866,4210333.55875558
157.64,3,46,1714,52.5,502965.895181973,4210369.0482495
164.44,3,62,1715,54.8,502652.484832818,4210826.06632167
218.66,3,78,1716,72.9,502646.327672939,4210872.66456171
93.84,3,36,1717,31.3,502606.820647401,4210943.66173625
11.96,2,7,1718,6,503071.021572344,4210825.1036199
13.25,2,7,1719,6.6,503070.142884843,4210828.43187775
32.1,3,15,1720,10.7,503116.622745484,4210891.69269021
124.01,3,40,1721,41.3,502987.813586122,4210420.09457092
109.98,2,22,1722,55,503146.739006091,4210156.08650739
57.84,1,13,1723,57.8,503545.462079386,4209385.12820135
56.66,1,15,1724,56.7,503555.124265313,4209365.16091625
47.68,1,15,1725,47.7,503564.780198322,4209359.61749259
33.96,1,13,1726,34,503636.681962317,4209496.12106435
92.18,1,19,1727,92.2,503726.148790596,4209597.1284203
